"tsls";"rating";"ttp";"total.sessions";"completed";"completed.post";"win.rate";"tries";"device";"tbs";"tsad";"dia"
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"ipad";"NULL";97571;NA
"NULL";0;0;1;"0.222222222222";0,222222222222;"1.0";"2.0";"ipad";"NULL";5485;NA
"217353";-1;589;2;"0.155555555556";0,155555555556;"0.5";"6.0";"iphone";"623.0";217943;145
"200800";0;111;2;"0.222222222222";0,222222222222;"0.666666666667";"3.0";"ipad";"1110.0";200912;145
"29155";1;17564;19;"0.533333333333";0,533333333333;"0.412587412587";"143.0";"iphone";"4809.11111111";115682;147
"7695";0;3317;9;"0.444444444444";0,444444444444;"0.8";"15.0";"iphone";"2272.75";26729;147
"5451";0;4947;12;"0.333333333333";0,444444444444;"0.7";"10.0";"iphone";"2689.09090909";36106;147
"99660";0;219;2;"0.222222222222";0,222222222222;"0.75";"4.0";"iphone";"1117.0";99880;146
"192548";-1;276;1;"0.133333333333";0,222222222222;"0.333333333333";"3.0";"iphone";"NULL";192825;145
"3751";-1;2199;4;"0.177777777778";0,177777777778;"0.190476190476";"21.0";"iphone";"82878.0";253528;147
"NULL";-1;0;1;"0.155555555556";0,155555555556;"0.333333333333";"3.0";"ipad";"NULL";47642;NA
"NULL";1;0;1;"0.222222222222";0,222222222222;"1.0";"3.0";"iphone";"NULL";99639;NA
"NULL";0;0;1;"0.155555555556";0,155555555556;"1.0";"2.0";"ipad";"NULL";89324;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"ipad";"NULL";95880;NA
"75457";0;16359;10;"0.666666666667";0,888888888889;"0.384615384615";"52.0";"iphone";"22704.4444444";205215;147
"196542";0;2811;8;"0.444444444444";0,711111111111;"0.705882352941";"17.0";"iphone";"3128.71428571";219689;145
"5153";-1;142;3;"0.133333333333";0,488888888889;"0.333333333333";"3.0";"iphone";"674.5";6595;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"0.5";"2.0";"iphone";"NULL";193660;NA
"NULL";-1;0;1;"0.155555555556";0,155555555556;"0.5";"2.0";"ipad";"NULL";222317;NA
"33424";0;2362;5;"0.333333333333";0,333333333333;"0.545454545455";"11.0";"iphone";"14638.5";92483;147
"1892";-1;172;2;"0.155555555556";0,155555555556;"0.333333333333";"3.0";"iphone";"18375.0";20395;147
"122093";-1;94;2;"0.133333333333";0,133333333333;"NULL";"NULL";"iphone";"95848.0";217943;146
"27398";0;5313;19;"0.333333333333";0,888888888889;"0.176470588235";"51.0";"ipad";"6082.94444444";133705;147
"NULL";0;0;1;"0.222222222222";0,222222222222;"0.75";"4.0";"iphone";"NULL";20867;NA
"156997";-1;297;4;"0.288888888889";0,311111111111;"0.296296296296";"27.0";"iphone";"885.333333333";159707;146
"10434";-1;628;3;"0.155555555556";0,311111111111;"0.5";"2.0";"iphone";"42811.0";96200;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"NULL";55935;NA
"43882";0;1078;2;"0.177777777778";0,177777777778;"0.285714285714";"7.0";"ipad";"191848.0";235732;147
"31964";-1;1393;2;"0.177777777778";0,177777777778;"NULL";"NULL";"ipad";"152393.0";185751;147
"NULL";0;0;1;"0.155555555556";0,155555555556;"1.0";"2.0";"ipad";"NULL";170141;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"ipad";"NULL";98004;NA
"210851";0;7;2;"0.266666666667";0,266666666667;"0.833333333333";"6.0";"iphone";"93180.0";210859;145
"166667";-1;37;2;"0.133333333333";0,133333333333;"NULL";"NULL";"iphone";"58.0";166705;146
"7332";0;6501;7;"0.555555555556";0,666666666667;"0.472222222222";"36.0";"ipad";"40738.3333333";251954;147
"42842";0;2281;4;"0.444444444444";0,444444444444;"0.761904761905";"21.0";"iphone";"60466.0";224590;147
"44819";-1;312;2;"0.155555555556";0,155555555556;"0.6";"5.0";"iphone";"441.0";45132;147
"79435";0;8384;1;"0.466666666667";0,822222222222;"0.8125";"16.0";"ipad";"NULL";87820;147
"22470";0;13874;3;"0.666666666667";0,666666666667;"0.633333333333";"30.0";"ipad";"19932.5";65604;147
"56723";0;15359;11;"0.4";0,4;"0.221153846154";"104.0";"ipad";"19684.1";253854;147
"42431";0;472;2;"0.222222222222";0,222222222222;"1.0";"3.0";"iphone";"490.0";42904;147
"NULL";0;0;1;"0.222222222222";0,222222222222;"1.0";"3.0";"iphone";"NULL";33847;NA
"11301";0;2823;21;"0.444444444444";0,444444444444;"0.647058823529";"17.0";"iphone";"4221.75";95803;147
"NULL";0;0;1;"0.222222222222";0,222222222222;"1.0";"3.0";"iphone";"NULL";27987;NA
"NULL";0;0;1;"0.333333333333";0,333333333333;"0.777777777778";"9.0";"ipad";"NULL";193415;NA
"18686";1;4721;11;"0.333333333333";0,666666666667;"0.666666666667";"15.0";"iphone";"14788.2";158005;147
"3548";1;6381;7;"0.444444444444";0,844444444444;"0.529411764706";"34.0";"iphone";"12459.1666667";80352;147
"NULL";0;0;1;"0.2";0,2;"0.571428571429";"7.0";"iphone";"NULL";135180;NA
"25311";0;3845;4;"0.4";0,4;"0.666666666667";"18.0";"iphone";"56973.6666667";196250;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"NULL";108998;NA
"150318";0;3445;9;"0.333333333333";0,333333333333;"0.333333333333";"27.0";"iphone";"10354.125";233278;146
"2827";0;943;4;"0.222222222222";0,222222222222;"1.0";"3.0";"iphone";"80466.6666667";244228;147
"26945";1;8985;14;"0.622222222222";0,711111111111;"0.641025641026";"39.0";"iphone";"7304.61538462";122641;147
"69081";0;894;2;"0.222222222222";0,222222222222;"0.75";"4.0";"ipad";"36876.0";69976;147
"29036";0;3933;6;"0.555555555556";0,711111111111;"0.615384615385";"26.0";"iphone";"23724.2";147790;147
"10400";0;6307;12;"0.622222222222";0,622222222222;"0.365384615385";"52.0";"iphone";"14996.0";177923;147
"214135";0;7275;4;"0.511111111111";0,511111111111;"0.620689655172";"29.0";"iphone";"4209.66666667";226690;145
"42362";-1;767;3;"0.177777777778";0,177777777778;"0.0833333333333";"12.0";"ipad";"8125.0";58679;147
"114818";0;447;3;"0.2";0,2;"0.571428571429";"7.0";"ipad";"51851.0";130474;146
"NULL";-1;0;1;"0.133333333333";0,133333333333;"0.333333333333";"3.0";"ipad";"NULL";102413;NA
"32400";0;16679;10;"0.733333333333";0,777777777778;"0.553571428571";"56.0";"ipad";"18734.3333333";207023;147
"130995";0;1017;3;"0.266666666667";0,266666666667;"0.428571428571";"14.0";"iphone";"47032.0";225066;146
"46560";0;853;2;"0.4";0,4;"0.733333333333";"15.0";"iphone";"4693.0";47414;147
"205728";0;1661;5;"0.377777777778";0,377777777778;"0.794871794872";"39.0";"ipad";"1829.5";207511;145
"NULL";-1;0;1;"0.155555555556";0,155555555556;"0.333333333333";"3.0";"iphone";"NULL";211710;NA
"NULL";-1;0;1;"0.155555555556";0,155555555556;"1.0";"2.0";"iphone";"NULL";137422;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"ipod";"NULL";136432;NA
"42706";1;933;2;"0.177777777778";0,177777777778;"0.285714285714";"7.0";"ipad";"3610.0";46473;147
"75170";0;954;3;"0.222222222222";0,4;"0.3";"10.0";"iphone";"19635.0";114681;147
"16059";0;1124;1;"0.177777777778";0,222222222222;"0.285714285714";"7.0";"iphone";"NULL";17184;147
"19863";1;16518;27;"0.733333333333";0,733333333333;"0.297297297297";"74.0";"ipad";"1166860.96154";211825;147
"16685";0;4030;7;"0.511111111111";0,555555555556;"0.619047619048";"21.0";"ipad";"14192.0";103519;147
"NULL";0;0;1;"0.266666666667";0,266666666667;"0.666666666667";"6.0";"iphone";"NULL";126178;NA
"38219";0;2069;1;"0.222222222222";0,422222222222;"0.3";"10.0";"ipad";"NULL";40289;147
"NULL";-1;0;1;"0.155555555556";0,155555555556;"0.5";"2.0";"iphone";"NULL";16038;NA
"38540";0;13595;11;"0.666666666667";0,711111111111;"0.384615384615";"52.0";"ipad";"17517.3";214246;147
"21758";1;6272;2;"0.622222222222";0,666666666667;"0.685714285714";"35.0";"iphone";"6423.0";29199;147
"16298";0;5999;13;"0.666666666667";0,733333333333;"0.725";"40.0";"iphone";"19498.1666667";250756;147
"170883";-1;6;2;"0.133333333333";0,133333333333;"1.0";"1.0";"ipod";"29.0";170890;146
"NULL";0;0;1;"0.155555555556";0,155555555556;"1.0";"2.0";"ipad";"NULL";130109;NA
"52336";0;627;1;"0.177777777778";0,177777777778;"0.285714285714";"7.0";"ipod";"NULL";52964;147
"2264";0;5885;11;"0.177777777778";0,2;"0.269230769231";"26.0";"ipad";"3057.2";31787;147
"NULL";-1;0;1;"0.177777777778";0,177777777778;"0.0909090909091";"11.0";"iphone";"NULL";151339;NA
"NULL";0;0;1;"0.155555555556";0,155555555556;"1.0";"2.0";"iphone";"NULL";36505;NA
"102866";-1;288;4;"0.133333333333";0,222222222222;"NULL";"NULL";"ipad";"8219.33333333";127534;146
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"ipad";"NULL";176229;NA
"231276";0;684;2;"0.444444444444";0,444444444444;"0.916666666667";"12.0";"ipad";"26985.0";231961;145
"63531";0;520;1;"0.222222222222";0,222222222222;"1.0";"2.0";"iphone";"NULL";64052;147
"NULL";0;0;1;"0.177777777778";0,177777777778;"0.666666666667";"3.0";"ipad";"NULL";191867;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"NULL";211333;NA
"NULL";0;0;1;"0.222222222222";0,222222222222;"0.75";"4.0";"iphone";"NULL";89397;NA
"148893";0;1700;2;"0.222222222222";0,222222222222;"0.6";"5.0";"iphone";"72890.0";222364;146
"56858";0;1822;4;"0.333333333333";0,333333333333;"0.888888888889";"9.0";"iphone";"47984.6666667";192707;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"iphone";"NULL";32269;NA
"194331";-1;166;3;"0.133333333333";0,133333333333;"0.25";"4.0";"ipod";"12178.0";194629;145
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"NULL";14728;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"ipad";"NULL";130856;NA
"34082";0;2175;3;"0.444444444444";0,511111111111;"0.647058823529";"17.0";"iphone";"7615.5";49982;147
"158478";0;5285;2;"0.555555555556";0,555555555556;"0.75";"20.0";"iphone";"82960.0";244357;146
"211554";0;1913;5;"0.266666666667";0,266666666667;"0.352941176471";"17.0";"ipad";"41882.5";218650;145
"26510";-1;1016;8;"0.177777777778";0,177777777778;"0.166666666667";"12.0";"ipad";"13881.8571429";123729;147
"8155";0;517;1;"0.177777777778";0,177777777778;"0.5";"4.0";"ipad";"NULL";8673;147
"17658";0;8190;6;"0.666666666667";0,777777777778;"0.558823529412";"34.0";"iphone";"9721.4";67360;147
"29305";-1;320;5;"0.155555555556";0,155555555556;"0.666666666667";"3.0";"ipod";"8218.0";62376;147
"93325";0;0;2;"0.155555555556";0,155555555556;"0.4";"5.0";"ipad";"20.0";93326;146
"170818";-1;141;2;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"5772.0";170960;146
"35591";0;1530;6;"0.222222222222";0,222222222222;"0.5";"8.0";"ipad";"35046.0";211222;147
"65060";0;3679;4;"0.444444444444";0,466666666667;"0.545454545455";"22.0";"iphone";"44751.3333333";200021;147
"NULL";0;0;1;"0.222222222222";0,222222222222;"1.0";"2.0";"ipad";"NULL";185393;NA
"8037";0;5811;2;"0.555555555556";0,666666666667;"0.727272727273";"22.0";"iphone";"4983.0";14259;147
"113914";0;599;2;"0.155555555556";0,155555555556;"0.666666666667";"3.0";"ipad";"8061.0";114514;146
"NULL";0;0;1;"0.222222222222";0,222222222222;"0.5";"6.0";"ipad";"NULL";116284;NA
"NULL";0;0;1;"0.288888888889";0,288888888889;"0.875";"8.0";"iphone";"NULL";109315;NA
"8487";-1;301;2;"0.155555555556";0,333333333333;"0.5";"2.0";"iphone";"39.0";8794;147
"26078";1;661;2;"0.222222222222";0,288888888889;"0.5";"6.0";"iphone";"5070.0";26740;147
"7774";0;2020;5;"0.222222222222";0,288888888889;"0.666666666667";"9.0";"iphone";"19618.0";86746;147
"50411";0;4229;8;"0.555555555556";0,666666666667;"0.484848484848";"33.0";"ipad";"7178.28571429";101266;147
"6118";0;1069;1;"0.266666666667";0,444444444444;"0.625";"8.0";"ipad";"NULL";7188;147
"14829";-1;138;1;"0.133333333333";0,133333333333;"1.0";"1.0";"ipad";"NULL";14968;147
"71737";0;919;6;"0.222222222222";0,222222222222;"1.0";"4.0";"iphone";"18165.8";162474;147
"8426";0;490;1;"0.222222222222";0,6;"1.0";"3.0";"iphone";"NULL";8917;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"ipad";"NULL";210682;NA
"182264";0;877;2;"0.355555555556";0,355555555556;"1.0";"9.0";"ipad";"47315.0";183142;145
"887";0;1878;1;"0.333333333333";0,4;"0.7";"10.0";"ipad";"NULL";2766;147
"3677";0;15280;14;"0.888888888889";1;"0.492957746479";"71.0";"iphone";"15157.7692308";201520;147
"84218";0;884;2;"0.222222222222";0,222222222222;"1.0";"3.0";"ipad";"73240.0";85103;147
"1934";0;4670;7;"0.466666666667";0,555555555556;"0.690476190476";"42.0";"iphone";"30611.6666667";186948;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"0.5";"2.0";"iphone";"NULL";234105;NA
"93174";0;4324;6;"0.333333333333";0,355555555556;"0.583333333333";"12.0";"iphone";"14254.2";166099;146
"77663";0;3890;3;"0.355555555556";0,355555555556;"0.8";"15.0";"iphone";"60674.0";163783;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"NULL";216634;NA
"108137";0;671;2;"0.177777777778";0,177777777778;"0.285714285714";"7.0";"iphone";"906.0";109045;146
"54158";0;3669;10;"0.444444444444";0,444444444444;"0.611111111111";"18.0";"iphone";"10612.2222222";149762;147
"NULL";0;0;1;"0.2";0,2;"1.0";"4.0";"iphone";"NULL";85994;NA
"199335";0;1364;2;"0.177777777778";0,177777777778;"0.285714285714";"7.0";"iphone";"114131.0";200700;145
"11726";0;2504;12;"0.444444444444";0,888888888889;"0.846153846154";"13.0";"iphone";"194.181818182";14707;147
"106761";0;782;3;"0.266666666667";0,266666666667;"1.0";"6.0";"iphone";"31990.0";169365;146
"54929";-1;149;2;"0.133333333333";0,288888888889;"1.0";"1.0";"iphone";"102590.0";157521;147
"NULL";-1;0;1;"0.155555555556";0,155555555556;"0.333333333333";"3.0";"ipad";"NULL";55919;NA
"2633";0;6215;6;"0.555555555556";0,888888888889;"0.75";"20.0";"iphone";"24823.8";127170;147
"188392";-1;244;1;"0.155555555556";0,155555555556;"0.5";"2.0";"iphone";"NULL";188637;145
"NULL";0;0;1;"0.177777777778";0,177777777778;"1.0";"5.0";"iphone";"NULL";186974;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"ipad";"NULL";187261;NA
"NULL";0;0;1;"0.222222222222";0,222222222222;"1.0";"3.0";"ipad";"NULL";27423;NA
"NULL";0;0;1;"0.155555555556";0,155555555556;"1.0";"2.0";"ipad";"NULL";177382;NA
"NULL";0;0;1;"0.222222222222";0,222222222222;"1.0";"3.0";"iphone";"NULL";107852;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"NULL";170554;NA
"NULL";-1;0;2;"0.133333333333";0,133333333333;"NULL";"NULL";"ipad";"38638.0";212433;NA
"85658";0;367;1;"0.2";0,266666666667;"1.0";"4.0";"iphone";"NULL";86026;147
"40663";0;1585;5;"0.222222222222";0,222222222222;"0.428571428571";"7.0";"iphone";"34065.25";177496;147
"83399";0;2933;6;"0.266666666667";0,266666666667;"0.375";"32.0";"iphone";"34172.8";254766;147
"NULL";-1;0;1;"0.155555555556";0,155555555556;"0.5";"2.0";"iphone";"NULL";182739;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"iphone";"NULL";15621;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"NULL";46433;NA
"28365";0;5275;11;"0.555555555556";0,733333333333;"0.5";"26.0";"iphone";"4403.2";72710;147
"11131";0;3299;6;"0.466666666667";0,622222222222;"0.631578947368";"19.0";"iphone";"38827.2";206080;147
"3339";0;419;3;"0.177777777778";0,222222222222;"0.285714285714";"7.0";"iphone";"1811.5";3800;147
"38109";0;12599;17;"0.666666666667";0,666666666667;"0.480769230769";"52.0";"iphone";"9069.3125";178689;147
"170499";0;2082;5;"0.4";0,444444444444;"0.846153846154";"13.0";"iphone";"40191.0";185282;146
"187374";0;1753;3;"0.444444444444";0,444444444444;"0.6875";"16.0";"iphone";"54100.0";215134;145
"177696";0;6992;5;"0.622222222222";0,622222222222;"0.65";"60.0";"ipad";"50509.75";238843;145
"7494";1;1169;3;"0.222222222222";0,222222222222;"0.75";"4.0";"iphone";"11280.5";30877;147
"27835";0;758;1;"0.222222222222";0,288888888889;"1.0";"3.0";"iphone";"NULL";28594;147
"NULL";0;0;1;"0.288888888889";0,288888888889;"0.5";"12.0";"ipad";"NULL";135535;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"NULL";189809;NA
"41333";-1;128;2;"0.155555555556";0,155555555556;"0.5";"2.0";"iphone";"16903.0";41462;147
"23196";0;5356;13;"0.444444444444";0,555555555556;"0.576923076923";"26.0";"ipad";"9849.91666667";141768;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"NULL";254282;NA
"NULL";0;0;1;"0.155555555556";0,155555555556;"1.0";"2.0";"iphone";"NULL";187780;NA
"155361";0;2754;5;"0.222222222222";0,222222222222;"0.176470588235";"17.0";"iphone";"5532.0";169565;146
"11223";0;2916;6;"0.4";0,4;"0.576923076923";"26.0";"iphone";"36853.6";195677;147
"127942";0;1048;2;"0.288888888889";0,288888888889;"0.857142857143";"7.0";"iphone";"1209.0";128991;146
"14727";1;1039;4;"0.288888888889";0,288888888889;"0.818181818182";"11.0";"ipod";"398.0";15891;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"iphone";"NULL";78083;NA
"7512";0;4026;2;"0.555555555556";0,644444444444;"0.681818181818";"22.0";"ipad";"4160.0";11539;147
"NULL";0;0;1;"0.288888888889";0,288888888889;"0.875";"8.0";"ipad";"NULL";26070;NA
"37805";1;9615;6;"0.333333333333";0,666666666667;"0.875";"8.0";"iphone";"12837.6";103538;147
"NULL";0;0;1;"0.333333333333";0,333333333333;"0.3125";"16.0";"ipad";"NULL";236275;NA
"NULL";1;0;1;"0.333333333333";0,333333333333;"0.533333333333";"15.0";"ipad";"NULL";50074;NA
"205506";0;147;2;"0.222222222222";0,222222222222;"1.0";"3.0";"iphone";"3351.0";205654;145
"NULL";0;0;1;"0.155555555556";0,155555555556;"1.0";"2.0";"iphone";"NULL";122408;NA
"61656";-1;465;6;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"34550.2";234508;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"NULL";188964;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"iphone";"NULL";207772;NA
